categoria,masa,Dim1_coord,Dim2_coord,Dim3_coord,Dim4_coord,Dim5_coord,Dim1_contrib,Dim2_contrib,Dim3_contrib,Dim4_contrib,Dim5_contrib,Dim1_cos2,Dim2_cos2,Dim3_cos2,Dim4_cos2,Dim5_cos2
Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,0.05891845059527192,-0.03333852097108921,0.05911068068370602,4.3044510786597465,30.490826125720723,2.142619886477271,1.024157225339127,5.999519887760976,0.23861289549139936,0.7227692367616867,0.01314667192694461,0.00420926092861839,0.01323259776304304
Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,-0.06375309586774157,0.1366642337564391,-0.01007021571656426,16.105916815852908,30.05425804984044,2.375958213057853,16.29961928314607,0.164913370387883,0.5272389848793305,0.4207095863080213,0.00860905378589217,0.0395605758290694,2.1479808765888323e-4
Moderadamente ondulado,0.12913786048114406,-0.01243675251440598,0.2560872169236552,-0.19030909209963437,-0.04549535163620891,-0.05547933963773287,0.00938939458412024,9.309901226966309,19.863149965927665,1.6947068226156468,4.696060602556311,0.00137598695335795,0.5834130408413635,0.3221954525785297,0.0184134168038516,0.02738185699374725
Pendiente fuerte,0.01001486076112941,0.478806571516642,0.769069192786208,0.32459647103082323,0.4970992997201532,-0.06326108717005846,1.0792825107275847,6.511655723335796,4.481340703152304,15.69054963706119,0.4735171987400857,0.1702978170567857,0.4393591809493155,0.07826659931848827,0.18355878693911284,0.0029727759488012
Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,0.10210462894705932,-0.16791189108334378,-0.00284727949488101,24.795357983382033,6.249018041977875,5.64139423927435,22.776656520440643,0.01220387831914196,0.8274930963499212,0.08917848876852985,0.02083891035930567,0.05635689393883154,1.6204824974286935e-5
Pendiente leve,0.02524175658504016,0.11040758701407612,0.4679718918972657,0.2004938187593595,0.1134793245009168,-0.2073944832474766,0.14463967269151937,6.076797959183658,4.309203559393764,2.0609146057949546,12.827189591843776,0.03181125044056599,0.5715081671835059,0.10490226845204768,0.03360596632719138,0.11224766195689263
Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872616,0.03042523708053596,-0.01399688337400929,-0.03730804569642713,46.38537434047671,4.4566207359705015,1.326796634112323,0.4192089883959581,5.549878800612513,0.9514815139896808,0.03909122672704124,0.00301243864034356,6.375480994778834e-4,0.00452955218589525
Ondulado y pendiente,0.02000818418728866,0.2926772223470796,0.3679187855415162,0.13951932759883603,0.4752081763205899,0.00972189971749889,0.8056669443136448,2.9773321594727333,1.6540623856727392,28.64721611236124,0.02234228000962296,0.15214709250608963,0.2404305966172989,0.03457439244011226,0.40110088193722526,1.6787579487484387e-4
Ligeramente ondulado,0.03775494820270939,0.05369161955823714,0.21816321934984131,-0.237183280257559,-0.11777591218607826,0.19398062449827083,0.05116310657364018,1.9753890039174855,9.020227287348318,3.320425731873218,16.78448904265797,0.01678352874388964,0.27709796450573104,0.327520441197048,0.08075756606022996,0.2190720511373095
Plano y ondulado,0.0172514053111068,-0.8132598195716859,-0.2961466448785294,0.5026944137928159,0.08058164959377227,0.45805282272009645,5.363559831622754,1.6632356994701585,18.51433241258743,0.7102377058772112,42.763490460316554,0.5315733155246518,0.07048848453771184,0.20310127900567015,0.0052188744270452,0.16863032135369463
